// USER CHART SHEET exported by JRC ECDIS.
// <<NOTE>>This strings // indicate comment column/cells. You can edit freely.
// - VTS,,IN USE
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL TOWNSVILLE PILOTS ON CH 06

18,26.854,S,146,45.311,E,0,20,
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL TOWNSVILLE VTS CH16

18,27.188,S,146,45.779,E,0,20,
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

18,27.041,S,146,53.920,E,1,3,9,
18,28.024,S,146,55.151,E,1,3,9,
18,27.743,S,146,55.191,E,1,3,9,
18,28.011,S,146,54.883,E,1,3,9,
18,28.024,S,146,55.124,E,1,3,9,
END
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

18,14.610,S,147,06.967,E,1,3,9,
18,14.853,S,147,05.163,E,1,3,9,
18,14.661,S,147,05.350,E,1,3,9,
18,15.018,S,147,05.363,E,1,3,9,
18,14.865,S,147,05.163,E,1,3,9,
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL REEF VTS CH 14

18,14.572,S,147,07.287,E,0,20,
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

19,05.995,S,146,53.345,E,1,3,9,
19,05.999,S,146,53.893,E,1,3,9,
19,05.949,S,146,53.820,E,1,3,9,
19,06.045,S,146,53.824,E,1,3,9,
19,05.999,S,146,53.901,E,1,3,9,
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL REEF VTS CH 14

19,05.846,S,146,52.503,E,0,20,
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

19,15.240,S,147,29.902,E,1,1,8,
19,16.213,S,147,28.609,E,1,1,8,
19,16.117,S,147,29.012,E,1,1,8,
19,15.958,S,147,28.660,E,1,1,8,
19,16.149,S,147,28.660,E,1,1,8,
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL REEF VTS CH 14

19,14.729,S,147,29.136,E,0,20,
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

20,10.795,S,149,16.888,E,1,3,9,
20,11.848,S,149,14.810,E,1,3,9,
20,11.928,S,149,15.232,E,1,3,9,
20,11.561,S,149,14.945,E,1,3,9,
20,11.880,S,149,14.844,E,1,3,9,
END
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

21,50.040,S,150,45.452,E,1,3,9,
21,51.763,S,150,43.726,E,1,3,9,
21,51.715,S,150,44.051,E,1,3,9,
21,51.428,S,150,43.743,E,1,3,9,
21,51.763,S,150,43.743,E,1,3,9,
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL REEF VTS CH 11

21,49.801,S,150,45.571,E,0,20,
// LINE_AGGREGATE
// Comment
// Lat,,,Lon,,,Type,Width,ColorNo,Comment
// Add "END" to the end of vertex.
LINE_AGGREGATE

24,26.989,S,153,37.668,E,1,3,9,
24,29.360,S,153,34.576,E,1,3,9,
24,29.335,S,153,35.384,E,1,3,9,
24,28.748,S,153,34.631,E,1,3,9,
24,29.411,S,153,34.492,E,1,3,9,
END
// TEXT
// Comment
// Lat,,,Lon,Rotation
TEXT,CALL REEF VTS CH 14

24,26.543,S,153,36.922,E,0,20,
// LINE_AGGREGATE
